Gene	lnL_Null	lnL_Alt	LRT	SocOrigin	Class	Gene_Desc	pvalue	adj_pvalue
Arp1	-3663.261697	-3662.354067	1.81526	AllComplex	Canon	 actin related protein 1 	0.177878529434916	1
B-gluc1	-8573.173033	-8573.173033	0	AllComplex	Canon	 beta-1,3-glucan recognition protein 1 	1	1
Cox6c	-1488.687407	-1488.681798	0.011218	AllComplex	NonCanon	 cytochrome c oxidase subunit VIc 	0.915649744883553	1
CPR14	-1853.764022	-1853.764022	0	AllComplex	NonCanon	 cuticular protein 14 	1	1
CPR19	-3259.185553	-3259.185553	0	AllComplex	NonCanon	 cuticular protein 19 	1	1
CSP6	-1980.436066	-1980.436066	0	AllComplex	NonCanon	 chemosensory protein 6 	1	1
CytC	-1423.033979	-1423.033979	0	AllComplex	Canon	 mitochondrial cytochrome C 	1	1
Dcr-1	-17101.318351	-17097.259064	8.11857	AllComplex	Canon	 endoribonuclease Dicer-1 	0.00438141055894661	1
Dl	-10524.740686	-10524.740686	0	AllComplex	Canon	 dorsal 	1	1
Dnmt3	-9954.468542	-9954.468542	0	AllComplex	NonCanon	 DNA methyltransferase 3 	1	1
Ecr	-4687.473094	-4687.473094	0	AllComplex	NonCanon	 ecdysone receptor 	1	1
egh	-5747.501473	-5747.501473	0	AllComplex	NonCanon	 beta-1,4-mannosyltransferase egh 	1	1
FAR1	-7140.612671	-7140.612671	0	AllComplex	NonCanon	 fatty acyl-CoA reductase 1 	1	1
Gat-1B	-7467.064366	-7464.95771	4.21331	AllComplex	NonCanon	 GABA neurotransmitter transporter-1B 	0.040108000886537	1
Gat-a	-7591.100997	-7591.100997	0	AllComplex	NonCanon	 GABA neurotransmitter transporter-1A 	1	1
Gfat2	-9215.08144	-9215.08144	0	AllComplex	NonCanon	 glucosamine-fructose-6-phosphate aminotransferase 2 	1	1
GlnS	-5415.012726	-5415.012726	0	AllComplex	NonCanon	 glutamine synthetase 	1	1
GstD1	-4379.671228	-4379.540596	0.261264	AllComplex	NonCanon	 glutathione S-transferase D1 	0.609253096829496	1
GstS4	-3263.196695	-3262.974857	0.443676	AllComplex	NonCanon	 glutathione S-transferase S4 	0.505353522249582	1
Imd	-4527.771425	-4527.771425	0	AllComplex	Canon	 immune deficiency 	1	1
Jtb	-8379.914045	-8379.914045	0	AllComplex	NonCanon	 jumping translocation breakpoint protein 	1	1
KAT2A	-9465.190172	-9465.053606	0.273132	AllComplex	NonCanon	 K(lysine) acetyltransferase 2A 	0.601238496310593	1
