Gene	lnL_Null	lnL_Alt	LRT	SocOrigin	Class	Gene_Desc	pvalue	adj_pvalue
Arp1	-3664.883963	-3664.883963	0	AllSol	Canon	 actin related protein 1 	1	1
B-gluc1	-8567.575247	-8567.575247	0	AllSol	Canon	 beta-1,3-glucan recognition protein 1 	1	1
Cox6c	-1486.815979	-1486.815979	0	AllSol	NonCanon	 cytochrome c oxidase subunit VIc 	1	1
CPR14	-1853.747007	-1853.747007	0	AllSol	NonCanon	 cuticular protein 14 	1	1
CPR19	-3269.799929	-3269.799921	1.6e-05	AllSol	NonCanon	 cuticular protein 19 	0.996808470267537	1
CSP6	-1979.148099	-1979.148099	0	AllSol	NonCanon	 chemosensory protein 6 	1	1
CytC	-1423.408358	-1423.408358	0	AllSol	Canon	 mitochondrial cytochrome C 	1	1
Dcr-1	-17109.622477	-17109.622476	2e-06	AllSol	Canon	 endoribonuclease Dicer-1 	0.998871621209031	1
Dl	-10280.543134	-10186.875768	187.335	AllSol	Canon	 dorsal 	1.21356792867443e-42	1.2863820043949e-39
Dnmt3	-9957.608977	-9957.149125	0.919704	AllSol	NonCanon	 DNA methyltransferase 3 	0.337552704200969	1
Ecr	-4681.132482	-4681.132482	0	AllSol	NonCanon	 ecdysone receptor 	1	1
egh	-5749.30429	-5749.060895	0.48679	AllSol	NonCanon	 beta-1,4-mannosyltransferase egh 	0.48536271683644	1
FAR1	-7145.907347	-7143.744957	4.32478	AllSol	NonCanon	 fatty acyl-CoA reductase 1 	0.0375612694088392	1
Gat-1B	-7488.506323	-7488.506323	0	AllSol	NonCanon	 GABA neurotransmitter transporter-1B 	1	1
Gat-a	-7588.56201	-7588.488741	0.146538	AllSol	NonCanon	 GABA neurotransmitter transporter-1A 	0.701865969449482	1
Gfat2	-9214.33303	-9214.33303	0	AllSol	NonCanon	 glucosamine-fructose-6-phosphate aminotransferase 2 	1	1
GlnS	-5418.225079	-5418.225079	0	AllSol	NonCanon	 glutamine synthetase 	1	1
GstD1	-4387.986591	-4387.964163	0.044856	AllSol	NonCanon	 glutathione S-transferase D1 	0.832269036073974	1
GstS4	-3257.954514	-3257.954489	5e-05	AllSol	NonCanon	 glutathione S-transferase S4 	0.994358151179968	1
Imd	-4521.967297	-4521.967297	0	AllSol	Canon	 immune deficiency 	1	1
Jtb	-8378.597844	-8378.597844	0	AllSol	NonCanon	 jumping translocation breakpoint protein 	1	1
KAT2A	-9558.712554	-9558.712554	0	AllSol	NonCanon	 K(lysine) acetyltransferase 2A 	1	1
LOC100379261	-6102.173007	-6102.173007	0	AllSol	NonCanon	 uncharacterized LOC100379261 	1	1
LOC100576099	-2090.873119	-2090.873119	0	AllSol	NonCanon	 carbohydrate sulfotransferase 11-like 	1	1
LOC100576186	-7579.085033	-7579.085033	0	AllSol	NonCanon	 alanine--glyoxylate aminotransferase 2, mitochondrial 	1	1
LOC100576195	-1540.881953	-1540.881953	0	AllSol	NonCanon	 protein ccsmst1 	1	1
LOC100576337	-3442.253695	-3440.870007	2.76738	AllSol	NonCanon	 deleted in autism protein 1 homolog 	0.0962035091547331	1
LOC100576383	-6944.28983	-6944.28983	0	AllSol	NonCanon	 mannosyl-oligosaccharide 1,2-alpha-mannosidase IA 	1	1
LOC100576411	-9064.959716	-9064.959716	0	AllSol	NonCanon	 uncharacterized LOC100576411 	1	1
LOC100576527	-8827.151478	-8827.151478	0	AllSol	Canon	 cyclic AMP-dependent transcription factor ATF-2 	1	1
LOC100576646	-3356.35949	-3356.35949	0	AllSol	NonCanon	 dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial 	1	1
LOC100576649	-8763.014535	-8763.014535	0	AllSol	NonCanon	 mismatch repair endonuclease PMS2 	1	1
LOC100576742	-15609.191306	-15609.191306	0	AllSol	Canon	 integrin beta-nu 	1	1
LOC100576795	-3884.603647	-3884.603647	0	AllSol	NonCanon	 uncharacterized protein YJR142W 	1	1
LOC100576801	-3752.512385	-3752.512385	0	AllSol	NonCanon	 malate dehydrogenase, cytoplasmic 	1	1
LOC100576818	-4880.741699	-4880.741699	0	AllSol	NonCanon	 dolichyl-phosphate beta-glucosyltransferase 	1	1
LOC100576819	-7687.255626	-7687.255626	0	AllSol	Canon	 putative inactive caspase B 	1	1
LOC100576826	-3582.33284	-3582.061125	0.54343	AllSol	NonCanon	 LHFPL tetraspan subfamily member 5 protein 	0.461014689226399	1
LOC100576862	-6282.085338	-6282.085338	0	AllSol	NonCanon	 speckle targeted PIP5K1A-regulated poly(A) polymerase 	1	1
LOC100577002	-8142.002161	-8141.940752	0.122818	AllSol	NonCanon	 multiple inositol polyphosphate phosphatase 1 	0.725998013041616	1
