Gene	lnL_Null	lnL_Alt	LRT	SocOrigin	Class	Gene_Desc	pvalue	adj_pvalue
LOC409377	-7276.142481	-7263.973955	24.3371	AllComplex	NonCanon	 transitional endoplasmic reticulum ATPase TER94 	8.08664710732184e-07	0.000852332605111722
LOC410860	-3805.500093	-3796.287387	18.4254	AllComplex	Canon	 battenin 	1.76687037544008e-05	0.0185521389421209
LOC413246	-1748.774146	-1738.445776	20.6567	AllComplex	NonCanon	 ras-related protein Rap1 	5.49445797868555e-06	0.0057801697935772
LOC551892	-3561.959617	-3550.530919	22.8574	AllComplex	NonCanon	 cytoplasmic protein NCK1 	1.74476280891858e-06	0.00183723523779126
LOC552315	-3580.648319	-3571.012748	19.2711	AllComplex	Canon	 ubiquitin-like-conjugating enzyme ATG3 	1.13410045789342e-05	0.0119193958124599
LOC724292	-5261.00503	-5246.407536	29.195	AllComplex	NonCanon	 disks large 1 tumor suppressor protein 	6.54478806373793e-08	6.90475140724351e-05
LOC724292	-5234.79084	-5226.01234	17.557	AllOrigin	NonCanon	 disks large 1 tumor suppressor protein 	2.78822453727253e-05	0.0294157688682252
LOC409749	-1584.179664	-1569.113851	30.1316	AllOriginEpi	NonCanon	 mediator of RNA polymerase II transcription subunit 31 	4.03699255634334e-08	4.25902714694222e-05
LOC413305	-8377.17076	-8368.686514	16.9685	AllOriginEpi	NonCanon	 lysophospholipid acyltransferase 7 	3.80051630963211e-05	0.0400574419035224
LOC726947	-7489.703129	-7481.361469	16.6833	AllOriginEpi	Canon	 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 	4.41681068673691e-05	0.0465090165313396
LOC100576818	-4872.530136	-4863.333221	18.3938	Apis	NonCanon	 dolichyl-phosphate beta-glucosyltransferase 	1.79641552368126e-05	0.0186827214462851
LOC409292	-4085.249379	-4075.477622	19.5435	Apis	NonCanon	 probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial 	9.83347498390109e-06	0.0102563144082088
LOC409945	-6581.17694	-6570.806385	20.7411	Apis	NonCanon	 aspartate--tRNA ligase, cytoplasmic 	5.25753596364224e-06	0.0054888675460425
LOC410183	-19183.972832	-19175.646815	16.652	Apis	Canon	 1-phosphatidylinositol 3-phosphate 5-kinase 	4.49029387960604e-05	0.0464745416539225
LOC410379	-11907.005373	-11894.077061	25.8566	Apis	NonCanon	 uncharacterized LOC410379 	3.67745123280378e-07	0.000385764634321117
LOC411115	-41789.500589	-41771.625478	35.7502	Apis	Canon	 baculoviral IAP repeat-containing protein 6 	2.2430894087496e-09	2.35748696859583e-06
LOC411982	-3155.526549	-3135.59134	39.8704	Apis	NonCanon	 E3 ubiquitin-protein ligase CBL 	2.7138488136233e-10	2.85496895193171e-07
LOC412422	-20053.401894	-20042.629376	21.545	Apis	NonCanon	 mediator of RNA polymerase II transcription subunit 1 	3.45622600962295e-06	0.00361175618005598
LOC413194	-6040.277373	-6030.984986	18.5848	Apis	Canon	 myeloid differentiation primary response protein MyD88-A 	1.62511170743637e-05	0.0169174128744126
LOC413534	-5875.956432	-5867.401414	17.11	Apis	NonCanon	 probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial 	3.52760766999291e-05	0.0365812915378265
LOC413917	-7390.476149	-7364.239402	52.4735	Apis	NonCanon	 alpha-1,2-mannosyltransferase ALG9 	4.3609329101804e-13	4.59206235441997e-10
LOC551207	-9934.608364	-9921.986109	25.2445	Apis	NonCanon	 RNA polymerase II subunit A C-terminal domain phosphatase 	5.05033819321459e-07	0.000529275442648889
LOC552779	-1753.399008	-1744.710137	17.3777	Apis	NonCanon	 ubiquitin-conjugating enzyme E2 G2 	3.06399864755872e-05	0.0318043059616595
LOC724926	-10571.893902	-10559.932336	23.9231	Apis	NonCanon	 DNA polymerase alpha subunit B 	1.00261459595223e-06	0.00104973748196199
LOC724953	-2905.369744	-2895.829117	19.0813	Apis	NonCanon	 U6 snRNA phosphodiesterase 	1.25266296051847e-05	0.0130527480486025
LOC725149	-12532.076016	-12523.57209	17.0079	Apis	NonCanon	 GPI ethanolamine phosphate transferase 2 	3.72246148204522e-05	0.0385647009539885
LOC725348	-5113.124914	-5102.113549	22.0227	Apis	NonCanon	 DNA mismatch repair protein Msh2 	2.69444851671955e-06	0.00281839314848864
LOC726890	-4039.56576	-4030.670585	17.7904	Apis	NonCanon	 carbonic anhydrase 2 	2.46624472052715e-05	0.0256242826462771
LOC727186	-1439.80901	-1426.048716	27.5206	Apis	NonCanon	 dolichol-phosphate mannosyltransferase subunit 3 	1.5543015068405e-07	0.000163201658218252
LOC412422	-19983.038779	-19971.354935	23.3677	CorbSoc	NonCanon	 mediator of RNA polymerase II transcription subunit 1 	1.33806568327124e-06	0.00140229283606826
LOC410371	-12243.597164	-12235.31893	16.5565	CorbSocEpi	NonCanon	 calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type 	4.72218461978587e-05	0.0494412729691581
LOC410811	-9072.774012	-9057.470425	30.6072	CorbSocEpi	NonCanon	 ras GTPase-activating protein 1 	3.15919201048391e-08	3.31083322698714e-05
CytC	-1403.348938	-1392.316514	22.0648	Halictid	Canon	 mitochondrial cytochrome C 	2.63599391233676e-06	0.00266498984537246
Gfat2	-9114.802301	-9086.073302	57.458	Halictid	NonCanon	 glucosamine-fructose-6-phosphate aminotransferase 2 	3.45273974144078e-14	3.62537672851282e-11
LOC100577053	-9021.074109	-9011.182366	19.7835	Halictid	NonCanon	 glycine dehydrogenase (decarboxylating), mitochondrial 	8.67281452647111e-06	0.00869883297005052
LOC100577401	-16690.206373	-16680.665505	19.0817	Halictid	NonCanon	 putative uncharacterized protein DDB_G0282133 	1.25240043669314e-05	0.0125365283712983
LOC100577687	-7336.334998	-7325.561825	21.5463	Halictid	NonCanon	 nucleoporin-like protein 2 	3.45388396495265e-06	0.00348842280460218
LOC100577972	-67323.418734	-67295.945649	54.9462	Halictid	NonCanon	 uncharacterized LOC100577972 	1.23874654069876e-13	1.29449013503021e-10
LOC100578071	-27438.654862	-27410.165791	56.9781	Halictid	NonCanon	 DNA polymerase zeta catalytic subunit 	4.40692194030794e-14	4.62286111538303e-11
LOC100578537	-11168.232538	-11126.362899	83.7393	Halictid	Canon	 UV radiation resistance-associated gene protein 	5.64517736148562e-20	5.93872658428287e-17
LOC102653793	-5539.355355	-5511.71372	55.2833	Halictid	NonCanon	 succinate--hydroxymethylglutarate CoA-transferase 	1.04351404261176e-13	1.0915156885719e-10
LOC107965828	-3727.035259	-3716.391683	21.2872	Halictid	NonCanon	 cholesterol 7-desaturase 	3.95362673805353e-06	0.00398525575195796
LOC408717	-3367.632579	-3357.799837	19.6655	Halictid	Canon	 sialomucin core protein 24 	9.22519482303785e-06	0.00924364521268393
LOC408766	-2679.920519	-2656.527673	46.7857	Halictid	NonCanon	 phosphatidylcholine:ceramide cholinephosphotransferase 2 	7.91891396011313e-12	8.24358943247777e-09
LOC409125	-17253.327072	-17244.66854	17.3171	Halictid	Canon	 mitogen-activated protein kinase kinase kinase 4 	3.16327461780373e-05	0.031379684208613
LOC409203	-8510.895188	-8502.343621	17.1031	Halictid	NonCanon	 UDP-glucuronosyltransferase 2A3 	3.54044687250678e-05	0.0350858285065422
LOC409511	-3869.279618	-3857.287354	23.9845	Halictid	NonCanon	 tetraspanin-1 	9.71143764645841e-07	0.000984943269103738
LOC409643	-4798.964123	-4783.397779	31.1327	Halictid	NonCanon	 failed axon connections 	2.40977474956972e-08	2.4748386678081e-05
LOC410159	-16586.708581	-16568.45429	36.5086	Halictid	NonCanon	 mediator of RNA polymerase II transcription subunit 13 	1.51994159803134e-09	1.56705978757031e-06
LOC410379	-11919.135421	-11910.245983	17.7789	Halictid	NonCanon	 uncharacterized LOC410379 	2.48119668433919e-05	0.0247127189760183
LOC410470	-5472.08066	-5457.631006	28.8993	Halictid	NonCanon	 putative polypeptide N-acetylgalactosaminyltransferase 9 	7.62404604868522e-08	7.79939910780498e-05
LOC410571	-16251.350982	-16241.033706	20.6346	Halictid	NonCanon	 DNA topoisomerase 3-alpha 	5.55824679791511e-06	0.0055915962787026
LOC410575	-3891.666172	-3870.538292	42.2558	Halictid	Canon	 dual specificity mitogen-activated protein kinase kinase 4 	8.00821583116432e-11	8.29651160108623e-08
LOC411083	-11595.718006	-11567.480197	56.4756	Halictid	NonCanon	 sodium/potassium-transporting ATPase subunit alpha 	5.69000816608486e-14	5.96312855805693e-11
LOC411115	-41758.032228	-41742.399297	31.2659	Halictid	Canon	 baculoviral IAP repeat-containing protein 6 	2.24997150072437e-08	2.31297070274465e-05
