Gene	lnL_Null	lnL_Alt	LRT	SocOrigin	Class	Gene_Desc	pvalue	adj_pvalue
LOC100577196	-9771.453097	-9760.780697	21.3448	AllComplex	NonCanon	 uncharacterized LOC100577196 	3.83659985936651e-06	0.00408597885022534
LOC409377	-7276.142481	-7263.973955	24.3371	AllComplex	NonCanon	 transitional endoplasmic reticulum ATPase TER94 	8.08664710732184e-07	0.00086284524635124
LOC410860	-3805.500093	-3796.287387	18.4254	AllComplex	Canon	 battenin 	1.76687037544008e-05	0.0187641633871737
LOC413246	-1748.774146	-1738.445776	20.6567	AllComplex	NonCanon	 ras-related protein Rap1 	5.49445797868555e-06	0.00584610328932143
LOC551892	-3561.959617	-3550.530919	22.8574	AllComplex	NonCanon	 cytoplasmic protein NCK1 	1.74476280891858e-06	0.0018599171543072
LOC552315	-3580.648319	-3571.012748	19.2711	AllComplex	Canon	 ubiquitin-like-conjugating enzyme ATG3 	1.13410045789342e-05	0.0120554878674071
LOC724292	-5261.00503	-5246.407536	29.195	AllComplex	NonCanon	 disks large 1 tumor suppressor protein 	6.54478806373793e-08	6.98983365207211e-05
LOC724292	-5234.79084	-5226.01234	17.557	AllOrigin	NonCanon	 disks large 1 tumor suppressor protein 	2.78822453727253e-05	0.0297782380580707
LOC409749	-1584.179664	-1569.113851	30.1316	AllOriginEpi	NonCanon	 mediator of RNA polymerase II transcription subunit 31 	4.03699255634334e-08	4.31150805017468e-05
LOC413305	-8377.17076	-8368.686514	16.9685	AllOriginEpi	NonCanon	 lysophospholipid acyltransferase 7 	3.80051630963211e-05	0.0405515090237746
LOC726947	-7489.703129	-7481.361469	16.6833	AllOriginEpi	Canon	 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 	4.41681068673691e-05	0.0470832019206154
LOC100576818	-4872.530136	-4863.333221	18.3938	Apis	NonCanon	 dolichyl-phosphate beta-glucosyltransferase 	1.79641552368126e-05	0.01888032715389
LOC100577196	-9775.506138	-9758.447755	34.1168	Apis	NonCanon	 uncharacterized LOC100577196 	5.19012323000625e-09	5.51710099349664e-06
LOC409292	-4085.249379	-4075.477622	19.5435	Apis	NonCanon	 probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial 	9.83347498390109e-06	0.0103644826330317
LOC409945	-6581.17694	-6570.806385	20.7411	Apis	NonCanon	 aspartate--tRNA ligase, cytoplasmic 	5.25753596364224e-06	0.00554670044164256
LOC410183	-19183.972832	-19175.646815	16.652	Apis	Canon	 1-phosphatidylinositol 3-phosphate 5-kinase 	4.49029387960604e-05	0.0469684739806792
LOC410379	-11907.005373	-11894.077061	25.8566	Apis	NonCanon	 uncharacterized LOC410379 	3.67745123280378e-07	0.000390177575800482
LOC410938	-6608.222797	-6597.780077	20.8854	Apis	NonCanon	 polypeptide N-acetylgalactosaminyltransferase 13 	4.87596920568595e-06	0.00514902348120437
LOC411115	-41789.500589	-41771.625478	35.7502	Apis	Canon	 baculoviral IAP repeat-containing protein 6 	2.2430894087496e-09	2.38664713090958e-06
LOC411982	-3155.526549	-3135.59134	39.8704	Apis	NonCanon	 E3 ubiquitin-protein ligase CBL 	2.7138488136233e-10	2.89024898650881e-07
LOC412422	-20053.401894	-20042.629376	21.545	Apis	NonCanon	 mediator of RNA polymerase II transcription subunit 1 	3.45622600962295e-06	0.00365323089217146
LOC413194	-6040.277373	-6030.984986	18.5848	Apis	Canon	 myeloid differentiation primary response protein MyD88-A 	1.62511170743637e-05	0.0170961751622306
